文件名,顺序,Eye study,语言,省份,省份,省份4分 1=high；2=Upper-middle；3=lower-middle; 4= low,省份3分 1=high；2=middle；3=low,省份3分 1=high；2=middle；3=low(修改四川安徽）,随访,随访次,0：不可用；1：可用；2潜力，需整体近视率补充数据；3潜力，需补充整体城乡数据,不可用理由,我们使用为1,年份,时间分组1:1995-2003；2:2004-2007；3:2008-2011；4:2012-2015；5:2016-2019；6:2020-2023,验光方式1非散瞳；2散瞳；3试片,城市/农村 0=农村，1=城市，2=农村及城市，3=不清楚划分,高度近视人数,男性人数,男性近视人数,男性近视率,男性城市人数,男性城市近视人数,男性农村人数,男性农村近视人数,男性高度近视,男性城市高度近视人数,男性农村高度近视人数,女性人数,女性近视人数,女性近视率,女性城市人数,女性城市近视人数,女性农村人数,女性农村近视人数,女性高度近视,女性城市高度近视人数,女性农村高度近视人数,学前人数,学前近视人数,学前总近视率,学前城市人数,学前城市近视人数,学前城市患病率,学前农村人数,学前农村近视人数,学前农村近视率,学前高度近视人数,学前城市高度近视人数,学前农村高度近视人数,1-3年级城市人数,1-3年级城市近视人数,1-3年级城市患病率,1-3年级农村人数,1-3年级农村近视人数,1-3年级农村患病率,4-6年级城市人数,4-6年级城市近视人数,4-6年级城市患病率,4-6年级农村人数,4-6年级农村近视人数,4-6年级农村患病率,7-9年级城市人数,7-9年级城市近视人数,7-9年级城市近视率,7-9年级农村人数,7-9年级农村近视人数,7-9年级农村近视率,10-12年级城市人数,10-12年级城市近视人数,10-12年级城市近视率,10-12年级农村人数,10-12年级农村近视人数,10-12年级农村近视率,同年同省小学生人口数,同年同省初中人口数,同年同省小学初中人口总数,离群,备注
刘满军 2019,212,,1 ,11 ,北京,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2018 ,5 ,2 ,1 ,,1090 ,,,,,,,,,,910 ,,,,,,,,,,2000 ,7 ,0.35%,2000 ,7 ,0.35%,0 ,0 ,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,913216,278971,1192187,,散瞳后电脑验光和检影验光
郭建玲 2010,213,,1 ,44 ,广东,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2009 ,3 ,2 ,2 ,,,,,,,,,,,,,,,,,,,,,,5182 ,101 ,1.95%,3020 ,62 ,2.05%,2162 ,39 ,1.80%,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,8876522,5036732,13913254,,散瞳后检影验光；不是很确定汇报的是不是等效球镜
jianing Pu 2022,216,Beijing hyperopia reserve study,0 ,11 ,北京,1 ,1 ,1 ,0 ,1 ,3 ,,1 ,2019 ,5 ,2 ,3 ,,1100 ,50 ,4.50%,,,,,,,,1011 ,29 ,2.90%,,,,,,,,2111 ,78 ,3.70%,,,,,,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,941614,308722,1250336,,散瞳后电脑验光；目前只看了摘要
张于灿 2012,217,,1 ,32,江苏,1 ,1 ,1 ,0 ,1 ,3 ,,1 ,2010 ,3 ,1 ,2 ,,,,,,,,,,,,,,,,,,,,,,9609 ,17 ,0.18%,,,,,,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,3987821,2329518,6317339,,文中幼儿园儿童包括7岁
蒋式飞 2010,221,,1 ,33,浙江,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2009 ,3 ,1 ,1 ,,3228 ,,,,,,,,,,2863 ,,,,,,,,,,6091 ,14 ,0.23%,6091 ,14 ,0.23%,0 ,0 ,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,3251416,1767195,5018611,,
朱欢欢2022,222,,1 ,12,天津,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2021 ,6 ,1 ,1 ,,3351 ,40 ,1.19%,3351 ,40 ,0 ,0 ,,,,315 ,56 ,17.62%,315 ,56 ,0 ,0 ,,,,6589 ,96 ,1.45%,6589 ,96 ,1.46%,0 ,0 ,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,751918,340858,1092776,,有部分视力不足1.0者未进行进一步的散瞳验光检查；将7岁人群也算作学龄前人群
高红琴2022,223,,1 ,32,江苏,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2020 ,6 ,1 ,1 ,,14484 ,,,,,,,,,,13077 ,,,,,,,,,,27561 ,126 ,0.46%,27561 ,126 ,0.46%,0 ,0 ,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,5808208,2542608,8350816,,只计算了单纯近视
郭晓红 2017,224,,1 ,33,浙江,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2017 ,5 ,1 ,1 ,,1820 ,,,,,,,,,,1771 ,,,,,,,,,,3591 ,27 ,0.75%,3591 ,27 ,0.75%,0 ,0 ,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,3540079,1558460,5098539,,
冯光强 2007,226,,1 ,44,广东,1 ,1 ,1 ,1 ,1 ,1 ,,1 ,2001 ,1 ,2 ,1 ,,700 ,,,,,,,,,,500 ,,,,,,,,,,1200 ,16 ,1.33%,1200 ,16 ,1.33%,0 ,0 ,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,9529844,4054225,13584069,,
冯光强 2007,227,,1 ,44,广东,1 ,1 ,1 ,1 ,2 ,0 ,随访重复,,2002 ,1 ,2 ,1 ,,700 ,,,,,,,,,,500 ,,,,,,,,,,1200 ,25 ,2.08%,1200 ,25 ,2.08%,0 ,0 ,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,9796069,4149939,13946008,,
冯光强 2007,228,,1 ,44,广东,1 ,1 ,1 ,1 ,3 ,2 ,,1 ,2003 ,1 ,2 ,1 ,,700 ,,,,,,,,,,500 ,,,,,,,,,,1200 ,,,,,,,,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,10253706,4321843,14575549,,复性近视散光数据汇报不清，故暂未录入
冯光强 2007,229,,1 ,44,广东,1 ,1 ,1 ,1 ,4 ,2 ,,1 ,2004 ,2 ,2 ,1 ,,700 ,,,,,,,,,,500 ,,,,,,,,,,1200 ,,,,,,,,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,10496221,4495533,14991754,,复性近视散光数据汇报不清，故暂未录入
冯晶晶 2010,231,,1 ,11,北京,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2009 ,3 ,1 ,1 ,,1465 ,,,,,,,,,,1311 ,,,,,,,,,,2776 ,26 ,0.94%,2776 ,26 ,0.94%,0 ,0 ,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,647101,318874,965975,,
陈佳艳 2019,232,,1 ,32,江苏,1 ,1 ,1 ,0 ,1 ,3 ,,1 ,2018 ,5 ,1 ,2 ,,3516 ,,,,,,,,,,3104 ,,,,,,,,,,6620 ,65 ,0.98%,,,,,,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,5604407,2257619,7862026,,硕士论文
赵玲 2012,233,,1 ,11,北京,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2009 ,3 ,2 ,1 ,,2054 ,,,,,,,,,,1775 ,,,,,,,,,,3829 ,45 ,1.18%,3829 ,45 ,1.18%,0 ,0 ,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,647101,318874,965975,,
吕冠明 2018,235,,1 ,32,江苏,1 ,1 ,1 ,0 ,1 ,3 ,,1 ,2018 ,5 ,1 ,3 ,,901 ,11 ,1.22%,,,,,,,,875 ,10 ,1.14%,,,,,,,,1776 ,21 ,1.18%,,,,,,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,5604407,2257619,7862026,,　
何新春2005,236,,1 ,11,北京,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2002 ,1 ,2 ,1 ,,,,,,,,,,,,,,,,,,,,,,2940 ,41 ,1.39%,2940 ,41 ,1.39%,0 ,0 ,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,594241,510055,1104296,,
周玉瑜 2018,238,,1 ,44,广东,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2016 ,5 ,2 ,2 ,,,,,,,,,,,,,,,,,,,,,,5427 ,100 ,1.84%,2350 ,43 ,1.83%,3077 ,57 ,1.85%,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,9052214,3478440,12530654,,不是很确定汇报的是不是等效球镜
刘巧如 2004,241,,1 ,44,广东,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2003 ,1 ,1 ,1 ,,1813 ,,,,,,,,,,1380 ,,,,,,,,,,3193 ,79 ,2.47%,3193 ,79 ,2.47%,0 ,0 ,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,10253706,4321843,14575549,,
陈翠2022,243,,1 ,33,浙江,1 ,1 ,1 ,0 ,1 ,3 ,,1 ,2018 ,5 ,2 ,3 ,,,,,,,,,,,,,,,,,,,,,,1758 ,67 ,3.81%,,,,,,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,3605686,1614623,5220309,,不确定用的是不是等效球镜；地点说的不清楚
陈丽梅2022,245,,1 ,12,天津,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2021 ,6 ,1 ,0 ,,3728 ,,,,,,,,,,2971 ,,,,,,,,,,6249 ,72 ,1.15%,0 ,0 ,,6249 ,72 ,1.15%,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,751918,340858,1092776,,
夏冰洋2022,247,,1 ,32,江苏,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2020 ,6 ,1 ,3 ,,3724 ,409 ,10.98%,,,,,,,,3316 ,350 ,10.55%,,,,,,,,7040 ,759 ,10.78%,,,,,,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,5808208,2542608,8350816,,
钱红丹 2020,248,,1 ,32,江苏,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2018 ,5 ,1 ,0 ,,2392 ,1476 ,61.70%,0 ,0 ,2392 ,1476 ,,,,2135 ,1401 ,65.60%,0 ,0 ,2135 ,1401 ,,,,338 ,38 ,11.24%,0 ,0 ,,338 ,38 ,11.24%,,,,0 ,0 ,,971 ,235 ,24.20%,0 ,0 ,,1022 ,659 ,64.48%,0 ,0 ,,1126 ,952 ,84.55%,0 ,0 ,,1070 ,993 ,92.80%,5604407,2257619,7862026,,幼儿园大班近视情况
王望晓 2016,251,,1 ,33,浙江,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2016 ,5 ,2 ,0 ,,,,,,,,,,,,,,,,,,,,,,1913 ,7 ,0.37%,0 ,0 ,,1913 ,7 ,0.37%,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,3550236,1503118,5053354,,
Liangde Xu 2021-2,253,children and adolescents myopia survey (CAMS),0 ,33 ,浙江,1 ,1 ,1 ,2 ,1 ,1 ,,1 ,2019 ,5 ,1 ,2 ,45044 ,551251 ,293762 ,53.29%,,,,,24145 ,,,451375 ,266040 ,58.94%,,,,,20899 ,,,\,\,,\,\,,\,\,,\,\,\,231783 ,53635 ,23.14%,47763 ,9480 ,19.85%,218620 ,126872 ,58.03%,45050 ,22426 ,49.78%,194750 ,158564 ,81.42%,40132 ,28028 ,69.84%,132626 ,117010 ,88.23%,27330 ,20683 ,75.68%,3671067,1636986,5308053,,也汇报了以0.5位标准的近视人数，可以录入，是001200的基线随访的报告
Nathan Congdon 2008,257,Xichang Pediatric Refractive Error Study,0,44,广东,1 ,1 ,1 ,0,1,1,,1 ,2007,2,2,0 ,35 ,923 ,535 ,57.96%,0 ,0 ,923 ,535 ,17 ,0 ,17 ,969 ,643 ,66.36%,0 ,0 ,969 ,643 ,18 ,0 ,18 ,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,\,\,,\,\,,0 ,0 ,,1892 ,1319 ,69.73%,\,\,,\,\,,10176170,4829437,15005607,,这篇要求双眼度数都小于-0.5；同时视力正常的样本中只有部分进行了验光
Huang yuqiang 2011,258,,0 ,44 ,广东,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2008 ,3 ,2 ,1 ,,561 ,,,,,,,,,,311 ,,,,,,,,,,\,\,,\,\,,\,\,,\,\,\,651 ,71 ,10.98%,0 ,0 ,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,9564740,4978825,14543565,,近视的人数通过眼数推算得到
Chunming Chen2022,259,,0 ,32 ,江苏,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2021 ,6 ,2 ,2 ,468 ,4132 ,2297 ,55.59%,,,,,,,,3816 ,2436 ,63.84%,,,,,,,,629 ,58 ,9.22%,,,10.52%,,,7.15%,,,,2496 ,620 ,24.84%,1561 ,264 ,16.88%,2496 ,1890 ,75.74%,1561 ,804 ,51.47%,1150 ,1078 ,93.75%,719 ,458 ,63.70%,1251 ,1231 ,98.37%,783 ,523 ,66.84%,5856796,2638789,8495585,,
Haishao Xiao 2022,261,,0 ,33 ,浙江,1 ,1 ,1 ,2 ,1 ,1 ,,1 ,2012 ,4 ,1 ,1 ,,339,139,41.00%,339,139,0,0,,,,284,96,33.80%,284,96,0,0,,,,\,\,,\,\,,\,\,,\,\,\,623 ,235 ,37.72%,0 ,0 ,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,3467269,1492985,4960254,,
Haishao Xiao 2022,262,,0 ,33 ,浙江,1 ,1 ,1 ,2 ,2 ,1 ,,1 ,2019 ,5 ,1 ,1 ,,285,119,41.75%,285,119,0,0,,,,252,95,37.70%,252,95,0,0,,,,\,\,,\,\,,\,\,,\,\,\,536 ,214 ,39.93%,0 ,0 ,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,3671067,1636986,5308053,,
Wen Zhou 2022,265,,0 ,32 ,江苏,1 ,1 ,1 ,1 ,1 ,1 ,,1 ,2019 ,5 ,1 ,1 ,,23797,,,,,,,,,,19121,,,,,,,,,,\,\,,\,\,,\,\,,\,\,\,15467 ,2682 ,17.34%,0 ,0 ,,15423 ,8754 ,56.76%,0 ,0 ,,12073 ,9252 ,76.63%,0 ,0 ,,\,\,,\,\,,5726376,2424561,8150937,,高度近视有汇报，但汇报方式不适合录入
Wen Zhou 2022,266,,0 ,32 ,江苏,1 ,1 ,1 ,1 ,2 ,1 ,,1 ,2020 ,6 ,1 ,1 ,,23114,,,,,,,,,,18850,,,,,,,,,,\,\,,\,\,,\,\,,\,\,\,14679 ,2990 ,20.37%,0 ,0 ,,16186 ,9706 ,59.96%,0 ,0 ,,11099 ,8902 ,80.20%,0 ,0 ,,\,\,,\,\,,5808208,2542608,8350816,,高度近视有汇报，但汇报方式不适合录入
Wen Zhou 2022,267,,0 ,32 ,江苏,1 ,1 ,1 ,1 ,3 ,0 ,随访重复,,2021 ,6 ,1 ,1 ,,21267,,,,,,,,,,17389,,,,,,,,,,\,\,,\,\,,\,\,,\,\,\,12590 ,2509 ,19.93%,0 ,0 ,,13370 ,8124 ,60.76%,0 ,0 ,,12696 ,10433 ,82.17%,0 ,0 ,,\,\,,\,\,,5856796,2638789,8495585,,高度近视有汇报，但汇报方式不适合录入
王涛 2006,270,,1,44,广东,1 ,1 ,1 ,0,1,1,,1 ,2004,2,2,1 ,,1091,,,,,,,,,,775,,,,,,,,,,1866 ,42 ,2.25%,1866 ,42 ,2.25%,0 ,0 ,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,10496221,4495533,14991754,,只对低视力做了散瞳验光
张秀娟 2007,272,,1,12,天津,1 ,1 ,1 ,0,1,1,,1 ,2003,1,2,0 ,,364,45,12.36%,0,0,364,45,,,,354,74,20.90%,0,0,354,74,,,,\,\,,\,\,,\,\,,\,\,\,0 ,0 ,,237 ,11 ,4.64%,0 ,0 ,,286 ,40 ,13.99%,0 ,0 ,,177 ,68 ,38.42%,\,\,,\,\,,585446,432505,1017951,,
Jiaxing Wang 2023,273,,0,37 ,山东,1 ,1 ,1 ,2 ,7 ,0 ,随访重复,,2021 ,6 ,1 ,1 ,,,,,,,,,,,,,,,,,,,,,,\,\,,\,\,,\,\,,,,,20494,4781,23.33%,0,0,,20187,13394,66.35%,0,0,,\,\,,\,\,,\,\,,\,\,,7558069,3881202,11439271,,只汇报了分年龄的率
Jiaxing Wang 2023,274,,0,37 ,山东,1 ,1 ,1 ,2 ,8 ,0 ,随访重复,,2021 ,6 ,1 ,1 ,,,,,,,,,,,,,,,,,,,,,,\,\,,\,\,,\,\,,,,,20494,4857,23.70%,0,0,,20187,13703,67.88%,0,0,,\,\,,\,\,,\,\,,\,\,,7558069,3881202,11439271,,只汇报了分年龄的率
lik thai lim 2014,279,,0,11 ,北京,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2008 ,3 ,2 ,1 ,,7434,,,,,,,,,,7882,,,,,,,,,,\,\,,\,\,,\,\,,\,\,\,2822 ,829,29.37%,0,0,,2822 ,1375,48.72%,0,0,,4378,2793,63.80%,0,0,,5295,3784,71.46%,0,0,,,,,,
Xiyan Zhang 2023,280,,0,32 ,江苏,1 ,1 ,1 ,1 ,1 ,1 ,,1 ,2019 ,5 ,2 ,0 ,,1768,,,,,,,,,,1489,,,,,,,,,,\,\,,\,\,,\,\,,\,\,\,0,0 ,,3257 ,726 ,22.30%,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,,,,,
Xiyan Zhang 2023,281,,0,32 ,江苏,1 ,1 ,1 ,1 ,2 ,1 ,,1 ,2020 ,6 ,2 ,2 ,,2610,,,,,,,,,,2290,,,,,,,,,,\,\,,\,\,,\,\,,\,\,\,1643,,,2171,,,,,,1086,,,\,\,,\,\,,\,\,,\,\,,,,,,该随访方式比较特殊（随访同一人群的同时加入新的人群），暂未进行推算
Xiyan Zhang 2023,282,,0,32 ,江苏,1 ,1 ,1 ,1 ,3 ,0 ,随访重复,,2021 ,6 ,2 ,2 ,,3491,,,,,,,,,,3015,,,,,,,,,,\,\,,\,\,,\,\,,\,\,\,,,,,,,,,,,,,\,\,,\,\,,\,\,,\,\,,,,,,该随访方式比较特殊（随访同一人群的同时加入新的人群），暂未进行推算
Xuewei Zhou 2023,283,,0,33 ,浙江,1 ,1 ,1 ,2 ,16 ,1 ,,1 ,2016 ,5 ,1 ,1 ,430,1294,1077,83.20%,1294,1077,0,0,,,,1424,1252,87.90%,1424,1252,0,0,,,,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,1424,1219,85.61%,0,0,,,,,,有职高数据
Xuewei Zhou 2023,284,,0,34 ,浙江,1 ,1 ,1 ,2 ,17 ,0 ,随访重复,,2017 ,5 ,1 ,1 ,385,1178,957,81.20%,1178,957,0,0,,,,1290,1124,87.10%,1290,1124,0,0,,,,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,1290,1094,84.84%,0,0,,,,,,有职高数据
Xuewei Zhou 2023,285,,0,35 ,浙江,1 ,1 ,1 ,2 ,18 ,1 ,,1 ,2018 ,5 ,1 ,1 ,354,1174,950,80.90%,1174,950,0,0,,,,1268,1084,85.50%,1268,1084,0,0,,,,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,1268,1056,83.28%,0,0,,,,,,有职高数据
Xuewei Zhou 2023,286,,0,36 ,浙江,1 ,1 ,1 ,2 ,19 ,0 ,随访重复,,2019 ,5 ,1 ,1 ,422,1091,913,83.70%,1091,913,0,0,,,,1269,1107,87.20%,1269,1107,0,0,,,,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,1269,1078,84.93%,0,0,,,,,,有职高数据
Xuewei Zhou 2023,287,,0,37 ,浙江,1 ,1 ,1 ,2 ,20 ,1 ,,1 ,2020 ,6 ,1 ,1 ,438,1090,900,82.60%,1090,900,0,0,,,,1242,1088,87.60%,1242,1088,0,0,,,,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,1242,1060,85.32%,0,0,,,,,,有职高数据
Xuewei Zhou 2023,288,,0,38 ,浙江,1 ,1 ,1 ,2 ,21 ,0 ,随访重复,,2021 ,6 ,1 ,1 ,318,1089,874,80.30%,1089,874,0,0,,,,1265,1109,87.70%,1265,1109,0,0,,,,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,1265,1081,85.42%,0,0,,,,,,有职高数据
Xuewei Zhou 2023,289,,0,39 ,浙江,1 ,1 ,1 ,2 ,22 ,1 ,,1 ,2022 ,6 ,1 ,1 ,348,1191,960,80.60%,1191,960,0,0,,,,1321,1132,85.70%,1321,1132,0,0,,,,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,1321,1103,83.47%,0,0,,,,,,有职高数据
Ju Xiangjin 2015,290,,0,21 ,辽宁,1 ,1 ,1 ,0 ,1 ,0 ,试片,1 ,2012 ,4 ,3 ,2,,1562,,,,,,,,,,1489,,,,,,,,,,\,\,,\,\,,\,\,,\,\,\,,,,,,,,,,,,,,,,,,,\,\,,\,\,,,,,,单眼研究
陈镇国2016,291,,1 ,33 ,浙江,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2012 ,4 ,2 ,3 ,,920 ,445 ,48.40%,920 ,445 ,0,0 ,,,,736 ,381,51.70%,736 ,381,0.00%,0,,,,\,\,,\,\,,\,\,,\,\,\,828,188,22.71%,0,0,,828,569,68.78%,0,0,,\,\,,\,\,,\,\,,\,\,,,,,,每人只纳入了单眼
Yanyu Lyu2015,292,,1,11 ,北京,1 ,1 ,1 ,0,1,1 ,,1 ,2011,3,2,1 ,,2048 ,717,35.00%,,,,,,,,2201 ,850,38.6%,,,,,,,,\,\,,\,\,,\,\,,\,\,\,2923,727,24.88%,0,0,,1326,833,62.86%,0,0,,\,\,,\,\,,\,\,,\,\,,,,,,全部归为城市（朝阳区）
裴晨璐 2014,296,,1,21 ,辽宁,1 ,1 ,1 ,0,1,1,,1 ,2012,4,2,2 ,,,,,,,,,,,,,,,,,,,,,,\,\,,\,\,,\,\,,\,\,\,616,112,18.18%,0,0,,438,243,55.59%,0,0,,566,410,72.44%,0,0,,\,\,,\,\,,,,,,Rongbin Xu的前期验证队列；苏家屯属于郊区，同时有城乡人口，论文中没有说明，目前暂全部算作城市；不是很确定和Ju Xiangjin 2015之间有没有重合
体质健康1995,297,体质健康测试,1,11,北京,1,1,1,2,1,1,,1 ,1995,1,3,2,,3743,1214,32.43%,1881,758,1862,456,,,,3738,1510,40.39%,1885,906,1854,605,,,,\,\,\,\,\,\,\,\,\,\,\,\,943,213,22.63%,932,96,10.26%,943,281,29.75%,932,172,18.49%,942,551,58.46%,930,313,33.65%,937,619,66.04%,921,479,52.02%,,,,,
体质健康1995,298,体质健康测试,1,12,天津,1,1,1,2,1,1,,1 ,1995,1,3,2,,3743,927,24.78%,1881,481,1862,446,,,,3738,971,25.97%,1885,368,1854,602,,,,\,\,\,\,\,\,\,\,\,\,\,\,943,68,7.23%,932,29,3.15%,943,69,7.30%,932,148,15.85%,942,348,36.96%,930,408,43.91%,937,364,38.87%,921,463,50.27%,,,,,
体质健康1995,302,体质健康测试,1,21,辽宁,1,1,1,2,1,1,,1 ,1995,1,3,2,,3743,1245,33.26%,1881,769,1862,476,,,,3738,1520,40.67%,1885,936,1854,585,,,,\,\,\,\,\,\,\,\,\,\,\,\,943,151,15.98%,932,53,5.68%,943,237,25.10%,932,107,11.47%,942,564,59.91%,930,314,33.73%,937,753,80.31%,921,587,63.73%,,,,,
体质健康1995,305,体质健康测试,1,31,上海,1,1,1,2,1,1,,1 ,1995,1,3,2,,3743,1721,45.99%,1881,980,1862,741,,,,3738,2055,54.98%,1885,1125,1854,930,,,,\,\,\,\,\,\,\,\,\,\,\,\,943,269,28.49%,932,116,12.42%,943,449,47.56%,932,284,30.51%,942,611,64.87%,930,536,57.56%,937,777,82.94%,921,736,79.87%,,,,,
体质健康1995,306,体质健康测试,1,32,江苏,1,1,1,2,1,1,,1 ,1995,1,3,2,,3743,1624,43.39%,1881,898,1862,726,,,,3738,1786,47.76%,1885,1017,1854,768,,,,\,\,\,\,\,\,\,\,\,\,\,\,943,177,18.77%,932,74,7.92%,943,381,40.41%,932,205,22.03%,942,597,63.40%,930,484,51.97%,937,760,81.05%,921,732,79.45%,,,,,
体质健康1995,307,体质健康测试,1,33,浙江,1,1,1,2,1,1,,1 ,1995,1,3,2,,3743,1985,53.03%,1881,1019,1862,965,,,,3738,2210,59.13%,1885,1117,1854,1093,,,,\,\,\,\,\,\,\,\,\,\,\,\,943,233,24.72%,932,195,20.97%,943,395,41.85%,932,417,44.76%,942,705,74.83%,930,646,69.42%,937,804,85.81%,921,800,86.85%,,,,,
体质健康1995,311,体质健康测试,1,37,山东,1,1,1,2,1,1,,1 ,1995,1,3,2,,3743,1745,46.62%,1881,919,1862,826,,,,3738,1975,52.83%,1885,1024,1854,951,,,,\,\,\,\,\,\,\,\,\,\,\,\,943,121,12.78%,932,118,12.67%,943,362,38.34%,932,360,38.61%,942,665,70.55%,930,542,58.21%,937,797,85.01%,921,757,82.21%,,,,,
体质健康1995,315,体质健康测试,1,44,广东,1,1,1,2,1,1,,1 ,1995,1,3,2,,3743,1119,29.91%,1881,723,1862,397,,,,3738,1475,39.45%,1885,945,1854,530,,,,\,\,\,\,\,\,\,\,\,\,\,\,943,154,16.33%,932,23,2.45%,943,305,32.33%,932,83,8.89%,942,511,54.21%,930,304,32.66%,937,698,74.46%,921,517,56.17%,,,,,
体质健康2000,325,体质健康测试,1,11,北京,1,1,1,2,2,1,,1 ,2000,1,3,2,,3651,1256,34.40%,1869,809,1782,447,,,,3646,1569,43.03%,1871,973,1775,596,,,,\,\,\,\,\,\,\,\,\,\,\,\,937,185,19.74%,998,116,11.62%,935,278,29.73%,917,159,17.34%,935,575,61.50%,921,329,35.72%,933,744,79.74%,721,439,60.89%,,,,,
体质健康2000,326,体质健康测试,1,12,天津,1,1,1,2,2,1,,1 ,2000,1,3,2,,2159,600,27.79%,720,288,1439,312,,,,2161,817,37.81%,721,339,1440,478,,,,\,\,\,\,\,\,\,\,\,\,\,\,361,116,32.13%,718,36,5.01%,360,86,23.89%,720,102,14.17%,360,177,49.17%,720,235,32.64%,360,248,68.89%,721,417,57.84%,,,,,
体质健康2000,330,体质健康测试,1,21,辽宁,1,1,1,2,2,1,,1 ,2000,1,3,2,,6300,1936,30.73%,3100,1134,3200,802,,,,6281,2435,38.77%,3108,1406,3173,1029,,,,\,\,\,\,\,\,\,\,\,\,\,\,1565,292,18.66%,1575,111,7.05%,1569,366,23.33%,1614,226,14.00%,1528,690,45.16%,1608,457,28.42%,1546,1192,77.10%,1576,1037,65.80%,,,,,
体质健康2000,333,体质健康测试,1,31,上海,1,1,1,2,2,1,,1 ,2000,1,3,2,,7699,3259,42.33%,3690,1702,4009,1557,,,,7557,3858,51.05%,3672,2002,3885,1856,,,,\,\,\,\,\,\,\,\,\,\,\,\,1945,406,20.87%,1984,191,9.63%,1905,813,42.68%,2007,638,31.79%,1892,1224,64.69%,2152,1245,57.85%,1620,1261,77.84%,1751,1339,76.47%,,,,,
